公司代號,公司名稱,合計：共 877 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,18.16,13.41,68952.11,13.38,10.04
1102,亞泥,,13.14,9.26,45349.04,11.53,9.55
1103,嘉泥,,15.08,-6.18,1565.23,0.79,-0.73
1104,環球水泥,,12.89,4.11,3287.86,32.49,30.60
1108,幸福水泥,,7.91,1.54,2592.87,1.16,0.80
1109,信大水泥,,19.31,11.26,3743.41,12.34,10.15
1110,東泥,,-3.58,-8.54,1141.61,0.44,0.47
1201,味全公司,,30.21,0.77,13169.21,2.77,1.35
1203,味王公司,,32.37,16.71,4633.52,17.09,12.47
1210,大成長城,,13.50,3.82,55967.03,4.03,3.15
1213,大飲,,11.64,2.24,535.97,2.99,2.18
1215,卜蜂企業,,16.50,8.61,14759.53,9.16,7.30
1216,統一,,33.69,6.38,305037.14,8.75,7.36
1217,愛之味,,31.85,0.51,3371.91,0.53,0.33
1218,泰山企業,,18.01,0.11,5852.52,5.34,5.14
1219,福壽實業,,7.93,-0.40,8016.36,0.06,-0.23
1220,台榮,,12.36,3.60,1699.44,5.18,4.18
1225,福懋油,,9.92,4.52,7970.12,4.74,3.77
1227,佳格,,28.31,10.42,19370.72,10.00,7.88
1229,聯華實業,,21.69,10.13,3582.74,65.64,63.58
1231,聯華食品,,20.49,5.74,5312.64,6.34,5.17
1232,大統益,,9.84,5.94,12700.09,5.87,4.86
1233,天仁,,57.20,9.80,1594.66,10.14,8.44
1234,黑松,,26.15,2.22,7046.10,7.48,6.43
1235,興泰,,27.42,-10.13,63.72,532.18,473.98
1236,宏亞食品,,23.49,-2.36,1290.40,-1.88,-2.03
1256,鮮活果汁-KY,,30.54,16.85,2405.25,16.73,10.79
1262,綠悅-KY,,24.50,18.04,4867.23,18.48,15.59
1301,台塑,,16.28,10.82,153641.84,26.31,23.77
1303,南亞塑膠,,16.47,9.73,224643.26,18.99,16.08
1304,台聚,,12.38,5.96,42866.48,6.10,4.75
1305,華夏,,18.54,10.92,10928.13,10.47,8.71
1307,三芳化工,,31.02,14.20,7653.07,13.16,10.35
1308,亞聚,,11.30,7.80,4808.12,11.47,9.87
1309,台達化工,,6.62,2.71,14346.92,2.46,1.80
1310,台苯,,12.19,9.35,10945.70,10.09,8.06
1312,國喬石化,,15.77,10.05,17079.01,16.81,13.58
1313,聯成,,7.64,3.61,36163.35,6.06,5.04
1314,中石化,,15.36,10.16,24388.95,21.04,20.24
1315,達新工業,,18.31,3.23,2077.45,9.37,9.29
1316,上曜,,21.89,-8.72,615.87,-5.36,-5.90
1319,東陽,,24.43,10.34,17987.23,12.24,9.61
1321,大洋,,5.53,-2.16,3294.82,-0.11,-0.60
1323,永裕,,23.74,12.41,2359.14,12.36,9.58
1324,地球工業,,15.14,-2.06,886.31,9.60,6.70
1325,恒大,,13.30,7.07,648.36,5.39,3.82
1326,台化,,14.47,10.44,259629.85,18.26,16.41
1337,再生-KY,,16.60,6.28,3471.36,7.47,5.39
1338,廣華-KY,,26.64,11.87,5718.67,12.49,9.33
1339,昭輝,,31.68,18.22,2033.64,12.99,9.77
1340,勝悅-KY,,33.92,28.58,2533.37,29.25,24.38
1402,遠東新,,23.90,7.55,159663.80,8.53,7.09
1410,南染,,37.45,22.53,406.15,22.89,18.70
1413,宏洲纖維,,5.06,2.79,2338.74,2.65,2.65
1414,東和,,6.11,-5.27,574.97,18.67,18.57
1416,廣豐,,28.75,6.95,2150.05,7.31,7.22
1417,嘉裕,,14.09,-23.36,1565.54,-20.03,-20.05
1418,東華,,-8.79,-17.44,1233.80,-18.95,-19.23
1419,新紡,,18.08,-9.37,1018.04,9.52,9.91
1423,利華羊毛,,5.97,0.07,426.01,11.42,10.53
1432,大魯閣實業,,90.25,-14.78,918.12,-28.93,-29.06
1434,福懋興業,,12.39,5.87,30929.41,14.79,13.55
1435,中福國際,,92.62,-13.19,25.81,28.97,28.97
1436,華友聯,,23.82,14.92,1478.48,11.96,9.84
1437,勤益投控,,70.34,53.30,420.20,69.30,60.57
1438,裕豐,,-69.23,-15525.64,0.04,-11528.21,-11528.21
1439,中和羊毛,,4.29,-7.16,189.38,-2.75,-2.82
1440,南紡,,11.65,1.46,15516.99,3.77,3.39
1441,大東紡織,,0.57,-10.73,1227.97,-13.79,-13.79
1442,名軒,,25.44,16.72,2422.51,18.19,18.93
1443,立益紡織,,10.18,-1.79,885.04,-16.87,-23.16
1444,力麗,,6.96,0.85,8198.39,-0.48,-0.40
1445,大宇紡織,,6.94,-0.85,1189.51,0.54,0.77
1446,宏和,,14.33,-6.25,409.02,-4.84,-5.56
1447,力鵬,,3.93,-0.32,12046.07,-3.20,-2.49
1449,佳和實業,,8.59,-4.93,2009.61,0.65,-0.62
1451,年興紡織,,6.19,-0.02,7087.28,2.70,2.24
1452,宏益,,17.21,11.49,1603.37,12.66,10.50
1453,大將,,1.64,-51.04,55.23,-23.66,-24.59
1454,台富,,8.76,1.42,1400.35,1.62,1.40
1455,集盛,,4.52,1.17,10969.75,1.79,1.64
1456,怡華,,14.78,2.08,573.53,-2.10,-3.30
1457,宜進,,10.89,4.72,3735.06,9.34,7.77
1459,聯發紡織,,1.07,-3.77,2459.00,1.98,2.18
1460,宏遠,,19.90,3.83,6194.58,3.07,2.18
1463,強盛染整,,50.65,38.78,1611.24,43.98,42.39
1464,得力實業,,18.69,5.46,5547.35,6.17,5.58
1465,偉全實業,,11.14,0.14,1395.47,2.93,3.04
1466,聚隆,,6.85,0.54,2960.20,-0.76,-0.70
1467,南緯實業,,20.09,1.90,5364.53,1.04,-1.04
1468,昶和纖維,,12.25,-10.16,468.27,-14.04,-14.04
1470,大統新創,,21.51,5.20,529.16,5.92,4.99
1471,首利,,-5.69,-31.34,814.38,-36.92,-37.42
1472,三洋紡,,3.52,-12.01,530.59,-12.73,-12.67
1473,台南企業,,12.81,1.01,6482.98,1.59,1.24
1474,弘裕,,13.87,5.49,2442.82,4.14,3.11
1475,本盟光電,,-16.29,-39.15,106.32,-44.17,-44.16
1476,儒鴻,,27.31,16.67,17191.78,14.44,11.54
1477,聚陽實業,,18.88,7.87,17140.34,7.36,5.96
1503,士電,,20.23,6.89,16234.38,9.14,6.97
1504,東元電機,,24.40,7.06,37667.31,9.11,7.43
1506,正道,,16.98,-0.01,1019.73,-3.51,1.00
1507,永大機電,,27.41,10.21,13065.44,10.85,7.62
1512,瑞利,,0.56,-18.33,1748.87,-25.64,-25.90
1513,中興電,,17.15,3.89,7979.52,5.81,5.20
1514,亞力電機,,13.79,2.50,2506.89,3.13,2.86
1515,力山,,22.57,6.11,3580.99,6.05,4.32
1516,川飛,,2.79,1.07,539.71,2.39,2.39
1517,利奇機械,,15.35,1.74,2104.46,4.59,-0.88
